track_id,caption
000227ca-80d1-4675-9cb4-bfa65e0f04dd,"Jazz, Funk, Bounce. Sax."
000459ee-3875-4ebd-b9d3-e2746cae1b25,Rhythmic Nostalgic Folk.
0007f96d-b00b-40e0-a535-5aee35e09bf4,"Fantasy, Pop, Rap. Rock, Pop Rock."
00088e03-7d73-48c8-bd74-55fee33bb40a,"Female Voice, Swing. Acapella."
0008fff6-356b-48aa-9486-10da0d2efe16,Norwegian Classical.
000a8348-4d1f-424d-bb89-48878a9ef800,"Catchy Melody. Laid-Back Reggae Track With A Simple, Electronic Beats And Lo-Fi Production, The harmonies are Romantic."
000a8de9-659d-4a1a-999e-bbcf4a7eecaa,vintage vocals over dark eerie surfrock dramatic scene with werewolf theme - Halloween Jam - subtle ambient avant garde.
000ad05f-74ab-47b4-acad-6263ceb2ab2e,Lunch 🥙.
000cb8b3-6bac-4668-bb68-315aaed68681,"Micro-House, Dub-House, Subbass. reverb FX."
000d1db1-706f-4704-9f50-151eec5865aa,"Grunge, Male Vocals. Dark, Atmospheric."
00119f10-ce6e-47ab-8b05-76e030c1135d,"String Section, Orchestra, Female Choir. 70'S Soul, horn section [Passionate female vocals]."
001364ad-38dc-469b-b7c9-44c66f4e1759,"Glitch Hop, Miami Bass, Melodic Acoustic Guitars. Electronic futuristic computer music, Cyberpunk, Electro-Grime."
00145837-d2a0-46b7-9ad0-b92cab6162b8,"Dark Tribal Progpsy, Syncopated Rhythms, Minor Pentatonic Scale. Dark Driving Lead Synthesizer, Pulsating Melodic Bassline."
00147f41-e8bd-496b-b81d-1137c311616c,"Acapela, Triste, Opera. Suave, Claro, Melancolico, Arma, Lento, Dark, Solo Piano, Coro De Mujer, Sad, Old, Folk."
0016cb09-1f11-4464-a4ce-84b8e452afff,"Smooth Drums, Relaxed, Chic. Sax Appeal - Saxophone, Bass, Smooth Drums | Relaxed, Memorable melody."
0017d4c1-26dd-48ab-b2aa-26372bc65201,Eletronico.
00188958-56fb-4315-bee4-cd5be583c2df,"K-Pop, Pop Fusion, Complex Rythm. Melodic Guitar, Percussions, Piano, Sad, Flirty, Funk, Female Voice."
001a5873-e517-4133-8a7a-a8cf1c935d15,"Male Singer, Symphonic Rock, Classical. Violin."
001c6d83-6985-4e70-a97a-4e1a9995b283,Indie G-Funk.
001ecb3e-dc36-45ba-8183-e15921bc47a8,"Brooding Darkwave, Ethereal Guitar Echoes, Whispered Harmonies. Throbbing Bassline, Shadowy Organ Tones."
00224776-5839-4ddf-84d3-27ac5511ec8f,"Heavy Power Metal, Hard Rock, Funky House. Epic."
00225f99-4ffe-470b-842e-7c9b83b7a097,"Pop, Bass.Man Voice."
00236eea-5ec6-4e18-9593-c8e6653af474,Rap Tecnico Hard.
00242709-55d9-46db-9587-ff94aea95f9d,Hip-Hop Gritty Eerie.
0028d6c7-d703-4e01-a8fb-6bb1e34bd460,"Afro-House, Deep House, Soulful House. African rhythms."
002ba982-8b07-4ffa-b3fc-4911563ddd52,Country Hellbilly Psychosociopathtehical. Country Hellbilly psychosocioPATHTEHICAL // NeON Punk SYNTHCHIPTUNE PUNK.
002f9fd1-678c-4077-8f87-c3efbabed40c,Dramatic Dynamic Pop.
00303604-97f3-4a2b-8842-34add64f3a5e,"Pop, Acoustic Soft Rock, Soulful Folk. Spanish guitar, Soft Percussion, Clear Female Vocals."
0030aa2d-aa43-4e83-a64d-a4b56bf270d5,"Fusion:[Glitch, Breakbeat, Post Rock. Slow, Deep Trance, Chillout, Industrial, Nu Metal]."
0032eb70-2a7c-4e3c-8e10-7cd1fecedf12,Dream Pop Female.
00347642-a87a-45e6-98b0-2958b577fb89,"Funk-House, Military Cadence, Sound Effects. Ethereal, Catchy, Rhythmic, Reverse Reverb, Deep Bass, Drops."
00366ce6-b16f-4201-83e2-c0b2143ad7f9,"Fast Aggressive Phonk, Synthwave, Climax."
00375c4c-a0a2-4c62-9060-9afd04ec7642,Deep House.
003808c5-693c-4ebe-b85e-2c565d0bf089,Acoustic Melodic Country.
003918a9-908a-435c-9f36-0cc62780d375,"Dark Pop, Isabella La Rosa, Echos. Male, Atmospheric Synths, Bass-Heavy Electronic Elements, Reverb-Laden Percussion Amb."
00396cb9-1a6e-4570-a1de-4e1a06e462ef,"Smooth Jazz, Ambient, Male Vocals."
003976f2-3018-4be6-9e7b-6e555bde790e,Vintage Swing Nostalgic.
003c5b38-7603-4efa-878d-90a0219bf593,Eerie Dubstep Electronic.
003d0ee0-728d-42a5-9b90-ddfacb4e2817,Pop.
003d7ee1-ae38-4316-87a0-1870fc593c6c,Modern Broadway or West End Musical Theatre comedy - male vocals.
003dab10-275a-4f0e-b763-9272c8d5c5d4,Bass-Driven Disco Vibe Glitch Metal.
003dc548-d748-4a89-83cc-4841b9c46669,
0040011b-4a00-4d94-a3ec-1777489fd6cf,"Rock, Synthwave."
004021d4-4497-44c6-9aec-d2a689ebfcba,"Indie Pop, Epico, Potenza. Shangaze, Ritmo, Maschio Italiano, Sperimentale, Aggressive."
00431966-c539-491b-ad51-137720a26a83,"Dreamwave, Dream Pop."
0044f56b-3093-42ca-91f7-672e24513a2c,"Male Vocal, Symphonic Power Metal, Mariachi. Intense, Epic, Powerful, Theremin."
00460ba3-1633-452b-9a7c-d389dd6a64c0,A musical composition.
004666e8-cbf0-4f93-80a8-10fc6e1cebc6,Wah Wah Chinese String Instruments Smooth Rap Uk Drill Modern Experimental Bass.
00469ea1-7da6-4a1e-98fc-03c620fe5e98,Cinematic Epic Orchestral.
00475494-6cea-4aed-a4c7-43765561a812,Progressive House Trance Vibe Strong 4/4 Beat Filtered Bass Drum Percussive Techno.
0047f14d-bf99-42c9-aa98-eb46f8c77374,New wave ambient tropical house.
00487636-c116-4f73-bced-93d0b605c31b,"Heavy Metal, Hard Rock, Guzheng. Chinese rhythms, Aggressive."
004a64a1-53b2-4cfd-8fb3-47ed6968e105,"Funny Anime Opening, Vocaloid."
004a9cd1-963b-41d3-886d-0587e681e74d,Aggressive Basstep.
004f01e6-3bea-4ef4-819d-b8eb9139e4ed,"Future Bass, Drumstep, House. Edm, Piano."
005059ba-3ea1-4d2c-ba47-24d759c3acf6,"Guitarra, Bateria, Trompete. Beat, Rap Melodic, Hip Hop."
00520ac8-27f9-4271-8cca-70dfb283d4e4,Reggae Bass Boosted Dubstep Meditative Hip Hop Vibes.
0053cf7f-7366-412c-9bf5-7241748eed30,Intenso Energético Rock And Roll.
0055f435-4b73-41ad-a251-407876a347d3,Electronic Vibrant.
005642ab-1118-4389-9f02-2de18c144c78,"Christmas theme a cappella French disco-trance jazz big band euro electro-disco-trance, Christmas carol jingle bell."
00586aed-2a28-479e-8a44-5b81c3054a67,Acoustic Folk Melodic.
00595253-1119-453c-b888-60ff8198c69d,"Doom Metal, Female Vocals, Dark Moody. Slow Paced."
005b109a-3ecd-4c79-95e7-d9a3e5d3ebfc,Hip Hop Pop.
005bca2f-dc1e-409e-aff0-691abe72bda0,"Soft Female Voice, Tropical House, Reggaeton. Energy Bass, Indie, Happy, Melodic."
005c3745-b87c-4b89-8bac-a7a93fb0e0ae,"Hardstyle, Woman Voice."
005faa6f-4fcb-488f-91b0-b3a799909d53,"Hip Hop, Trap, Choirs. Epic, Hype, Trumpet, Clear Vocals, Master Production, High-Quality."
00602eb8-9e1e-4db1-ba62-cbe757bf7cad,Emotional Alternative Slower.
00603979-0a13-4b68-ac20-8f2c1de56578,Acoustic Melodic Country.
00604eec-c49c-44b7-9807-267205b99923,Polyrhythmic Bass-Driven Progressive.
0062c88b-0c9b-4e84-871c-1b86fdf1a6aa,"Male Vocals, Empowering, Confident. Upbeat, Spirited, Energetic."
006306bb-c2ab-42a2-847f-3e4dddb33c63,"A Relentless. Slow, Crushing Industrial Black Metal With Heavy Riffs And Dark Synth Layers, Bleak Atmosphere Of Despair."
