track_id,caption
000ad05f-74ab-47b4-acad-6263ceb2ab2e,"This slow piece in A# minor has high energy and powerful dynamics and dissonant harmonic content, giving it a dynamic and neutral feel."
0011803a-4c19-410d-973c-025278461698,"Set in E major, this slow composition leans dark and aggressive, with its strong intensity at the center."
00132ad7-d582-4d41-a516-ef8bf4609a7f,"In C major, this slow Live Music, Symphonic Anatolian Rock, Melodic Rock song combines high energy and powerful dynamics and a dark and aggressive feel in a commanding way."
00142b9d-43bd-4c67-84d3-22ed8d8340b4,"A medium-paced Orchestral Epic, Melodic Progressive Metal, Spoken Word track in B minor, it brings together strong intensity and dark and aggressive in a powerful sound."
001e6384-3c81-49ae-87e3-10ce783d7e6e,"In B minor, this fast-paced Throat Singing, Metal, Mongolian song combines intense energy and a dark and aggressive feel in a powerful way."
0028d6c7-d703-4e01-a8fb-6bb1e34bd460,"In B minor, this fast-paced Afro-House, Deep House, Soulful House track combines high energy and powerful dynamics and dark and aggressive into a forceful sound."
00385125-24fd-43da-87f0-9f51e775a775,"This fast-paced Techno Bass, Bass Trap composition in D# minor has a dynamic and neutral feel, shaped by its intense energy."
003d7ee1-ae38-4316-87a0-1870fc593c6c,"This medium-paced track in D minor features strong intensity and dynamic and neutral, giving it an adaptive atmosphere."
00475494-6cea-4aed-a4c7-43765561a812,"In F minor, this fast-paced track combines vigorous power and dark and aggressive in a powerful atmosphere."
0047cdda-d7fe-4b5c-b675-63f9caa1e7da,"A medium-paced piece in D# major, it brings together intense energy and high tension for a dynamic and neutral feel."
004a9cd1-963b-41d3-886d-0587e681e74d,"A fast-paced Aggressive Basstep piece in B minor, it brings together high energy and powerful dynamics and unstable structure for a dark and aggressive feel."
0055f435-4b73-41ad-a251-407876a347d3,"In B minor, this fast-paced Electronic Vibrant song combines high energy and powerful dynamics and a dark and aggressive feel in a commanding way."
0057fd8e-a164-41ce-bfaf-972bf7934cc9,"In B minor, this medium-paced Sultry Kawaii Breathy, Urban Groove, Upbeat Dnb Mix track combines vigorous power and dark and aggressive into a powerful sound."
00629d8c-58c3-4de1-bba6-0771965624f2,"Set in C major, this medium-paced Corporate Music, Video Background, Modern composition leans cheerful and gentle, with its moderate energy at the center."
006c6c59-655a-4c49-9bd4-5f6e7db78b87,"A medium-paced Freestyle Rap, Hip-Hop, Electronic track in E major, it brings together balanced dynamics and cheerful and gentle in a warm sound."
007239a9-7b14-48fc-bf8a-2215f3bd1f1d,"A fast-paced Turkish Art Music, Baglama Faster Drums, Rhythm Drums piece in G minor, it brings together high energy and powerful dynamics and unstable structure for a dynamic and neutral feel."
00735a55-847a-4288-a3e2-31591535b562,"A fast-paced track in C major with Dream House, Belting, Female Vocal, it draws on strong intensity and dynamic and neutral to create a multifaceted atmosphere."
007bb655-01a2-47e8-b985-1ca8292b2528,"In E major, this medium-paced composition comes across as calm and pleasant, driven by its steady intensity."
00850ea4-274c-4450-af9f-ae917bcbf155,"This Hard Rock slow piece in B minor has vigorous power and complex tonality, giving it a dark and aggressive feel."
008fda96-5b7c-4cba-b723-9e9f630d8d5c,"In F major, this fast-paced Industrial Metal, Subbass song combines vigorous power and a dark and aggressive feel in a forceful way."
009ba5f4-96eb-4ddb-a0d0-6c9d27317f1f,"In G minor, this fast-paced Video Game Chiptunes, Electronica, Hip Hop piece carries intense energy and complex tonality, which gives it a dark and aggressive feel."
009cd99f-acb8-4851-b68b-23c24170578f,"A medium-paced Funeral-Dark-Doom Metal track in B minor, it brings together intense energy and dark and aggressive in a forceful sound."
009d1a98-413e-47c4-9f92-af2ca47d98f0,"This Anime, Shakuhachi, Dembow medium-paced piece in A major has intense energy and complex tonality, giving it a dynamic and neutral feel."
00abf04f-9388-4012-b8ff-b60c4331d4e3,"Set in F major, this medium-paced Action composition leans ambient and atmospheric, with its steady intensity at the center."
00b5b03b-d5b8-4635-b855-6f570f0631a6,"A fast-paced piece in C minor, it brings together vigorous power and high tension for a dynamic and neutral feel."
00c7c00b-3f48-42d0-a468-da9ee5612084,"In B major, this slow Dubstep, Dark Electronic, Sub Bass track combines strong intensity and dark and aggressive into a commanding sound."
00cfcd3e-0795-4a47-96f4-8af98f97d497,"In C minor, this fast-paced piece carries high energy and powerful dynamics and unstable structure, which gives it a dynamic and neutral feel."
00d25eda-e20d-413c-9672-af040dd17a72,"Set in F major, this fast-paced composition leans dynamic and neutral, with its vigorous power at the center."
00d8f059-1acc-484a-9384-86f68d1841d7,"In A# major, this medium-paced Flamenco piece carries vigorous power and complex tonality, which gives it a dynamic and neutral feel."
00dcb7fa-0024-49dd-b23d-684f7dba683f,"A fast-paced Ethereal, Dubstep, Demon Bass piece in F major, it brings together moderate energy and unstable structure for a subdued and introspective feel."
00f51122-2889-4d9e-8b93-09bb2af7c1ab,"This fast-paced Male Voice, Calypso song in E major is marked by high energy and powerful dynamics, with a dark and aggressive feel that comes across as powerful."
00f80c59-435c-4508-ac88-6baacd79a5b6,"This fast-paced Deep Baritone Voice, Spoken Storytelling, South American Vocal song in F# minor is marked by vigorous power, with a dynamic and neutral feel that comes across as versatile."
